 Mode        freq       Activity    Depolarization
--------------------------------------------------
   9:        36.99      1.415404      0.749959
  10:        45.66      2.568484      0.724778
  11:        48.40      0.914558      0.678376
  12:        52.81      1.221973      0.641175
  13:        73.44      0.978523      0.729189
  14:        88.97      0.446404      0.712216
  15:        96.20      0.592547      0.606016
  16:       123.58      0.278804      0.681230
  17:       128.75      0.577151      0.735217
  18:       152.98      0.056121      0.639632
  19:       163.44      0.924710      0.698297
  20:       174.96      0.559804      0.749088
  21:       191.64      1.110022      0.709774
  22:       200.16      0.594405      0.733357
  23:       220.65      0.522640      0.208975
  24:       240.65      0.125353      0.544249
  25:       248.09      1.259191      0.242653
  26:       252.00      2.685453      0.071485
  27:       285.17      1.281159      0.481718
  28:       300.81      0.376519      0.619778
  29:       336.11      1.121042      0.214076
  30:       368.82      2.019508      0.198887
  31:       375.91      0.998639      0.385024
  32:       382.49      1.625333      0.614485
  33:       402.20      2.430359      0.163337
  34:       436.74      0.296711      0.649451
  35:       437.71      1.629595      0.749998
  36:       464.32      0.773984      0.537941
  37:       473.86      0.580255      0.464828
  38:       495.49      1.795845      0.314334
  39:       515.36      0.346715      0.637906
  40:       531.15      0.904866      0.310056
  41:       543.91      1.141467      0.072988
  42:       561.54      1.317760      0.541044
  43:       573.90      5.582440      0.203953
  44:       619.82      3.235485      0.173361
  45:       677.88      1.269502      0.690111
  46:       706.58      0.345287      0.599730
  47:       743.74      8.112648      0.109085
  48:       760.59      0.517631      0.704669
  49:       773.56      5.143310      0.127956
  50:       813.49      9.200547      0.084585
  51:       821.37      3.690637      0.046855
  52:       831.84      3.251195      0.077886
  53:       857.31      3.062338      0.597583
  54:       866.53      6.167704      0.151456
  55:       899.66      4.010913      0.216068
  56:       905.25      4.841926      0.177855
  57:       924.79      1.379173      0.039869
  58:       927.89      0.835760      0.582041
  59:       946.54      0.303455      0.360607
  60:       967.47      2.771886      0.175444
  61:       973.79      2.514948      0.597834
  62:       978.50     10.737187      0.027859
  63:       995.54      0.096533      0.255416
  64:      1011.95      1.157154      0.539928
  65:      1039.08      1.110781      0.735828
  66:      1055.17      4.251973      0.084789
  67:      1078.12      4.802941      0.702621
  68:      1084.55      4.609456      0.380974
  69:      1105.61      2.717013      0.476010
  70:      1106.18      2.681815      0.282460
  71:      1123.30      0.981507      0.525320
  72:      1143.84      7.772287      0.642716
  73:      1160.12      0.916905      0.629477
  74:      1162.16      0.958099      0.139084
  75:      1188.23      1.016568      0.697724
  76:      1195.63      0.844574      0.318099
  77:      1202.47      3.398371      0.146614
  78:      1220.59      4.711196      0.685720
  79:      1223.11      2.934708      0.731902
  80:      1226.10      4.795821      0.203589
  81:      1237.04      3.999972      0.179518
  82:      1263.75      0.866622      0.749975
  83:      1273.22      2.585003      0.684828
  84:      1293.64      0.923927      0.749951
  85:      1296.46      0.856287      0.562185
  86:      1308.09      4.324662      0.512954
  87:      1315.03      2.804057      0.475523
  88:      1324.92      6.232370      0.404216
  89:      1329.90     17.899664      0.163392
  90:      1346.07      4.066808      0.743041
  91:      1346.44      7.566027      0.162166
  92:      1350.18      2.521382      0.734730
  93:      1367.90      2.394920      0.748266
  94:      1372.20      0.864827      0.483705
  95:      1392.70      6.671284      0.054944
  96:      1395.38      2.688974      0.074450
  97:      1401.84      2.101870      0.344317
  98:      1408.86     18.674735      0.174954
  99:      1421.99      0.955202      0.150885
 100:      1426.48      1.914847      0.566604
 101:      1481.31      4.623616      0.748984
 102:      1483.16      2.920905      0.486238
 103:      1487.87      7.000724      0.691083
 104:      1489.06      1.150756      0.749700
 105:      1492.24      9.025906      0.716343
 106:      1495.00      6.808890      0.739408
 107:      1497.61      2.655944      0.691197
 108:      1503.90      5.378016      0.713691
 109:      1504.12      7.527098      0.710336
 110:      1506.54      6.300703      0.750000
 111:      1509.46      0.322537      0.688796
 112:      1515.91      1.553111      0.224743
 113:      1521.86      1.133135      0.715318
 114:      1582.66      1.889726      0.515395
 115:      1589.05      1.080019      0.222122
 116:      1688.16     11.544966      0.628606
 117:      1701.03     32.573005      0.654788
 118:      1790.87     62.909171      0.163674
 119:      1803.63      5.819535      0.197130
 120:      3033.21    137.290208      0.047000
 121:      3038.32    121.325216      0.120548
 122:      3048.56     56.663790      0.241981
 123:      3051.94    133.353233      0.088061
 124:      3067.57     48.243009      0.058965
 125:      3068.65    123.891144      0.089518
 126:      3076.89    152.128761      0.106436
 127:      3080.68     71.818268      0.012371
 128:      3086.13    277.806496      0.025829
 129:      3092.42    151.646165      0.533852
 130:      3096.60     21.338858      0.047853
 131:      3099.75     34.022053      0.749987
 132:      3125.85     11.359817      0.665144
 133:      3127.08     40.873587      0.742045
 134:      3136.33     48.093129      0.738121
 135:      3152.92     63.493147      0.507236
 136:      3154.23     28.531349      0.534612
 137:      3160.94    105.473505      0.665499
 138:      3161.26     76.460159      0.626232
 139:      3188.59     47.005608      0.150730
 140:      3191.08     72.248808      0.616383
 141:      3196.48     37.756303      0.222508
 142:      3206.66     83.148462      0.417375
 143:      3235.20    130.650265      0.186373
 144:      3259.54     27.888147      0.161493
 145:      3634.81     34.798189      0.106363
 146:      3810.54    100.884106      0.208741
